"Year","Oil_production","Coal_production","Gas_production","Nuclear_production","Oil_consumption","Coal_consumption","Gas_consumption","Nuclear_consumption"
"1980","28.622375519000002","166.44697832","81.804143026","192.19392589","1409.5747243","407.4469319","272.79429181","192.19392589"
"1981","34.040608765","168.22450752","77.11729954600001","300.71211844","1252.3203771","364.86176795","282.44252818","300.71211844"
"1982","30.754223136000004","156.72965975","71.426093918","310.99089852000003","1163.6416271","386.36347477000004","273.09963746","310.99089852000003"
"1983","31.382594362","154.58518079","72.235394217","412.08484797","1133.32899739","341.79947795000004","285.71169792","412.08484797"
"1984","31.468573789","151.11182314","68.685206461","546.8788041900001","1071.91250255","325.15635482000005","302.57793097","546.8788041900001"
"1985","39.399681364","139.49920999000003","58.127051684","639.9757679300001","1056.06676711","310.74143502000004","311.9222987","639.9757679300001"
"1986","44.276420647","134.74658723000002","45.753471352000005","725.9333537900001","1061.4601214600002","264.83406853","315.27449501","725.9333537900001"
"1987","46.479086823","121.73188454000001","42.450859547","755.3484964","1073.28497048","237.37974392","319.70141962","755.3484964"
"1988","47.86532234700001","106.413774288","35.002598171","788.7484608000001","1085.35356104","230.52623144000003","308.74816932000004","788.7484608000001"
"1989","46.477800545","103.56051079300002","33.675568651000006","874.89397583","1109.26422465","251.45682385","314.0377957","874.89397583"
"1990","43.494841616","90.48512392600001","32.559443366","904.1726985399999","1101.3208532400001","246.40517053000002","319.06402584","904.1726985399999"
"1991","41.768618161","86.39110574","36.817143335000004","953.8576053300001","1170.9809712","264.15031757","361.36040526","953.8576053300001"
"1992","42.665272553","79.597381927","36.003667866","974.31151893","1168.3799217","236.97755526","365.55284581","974.31151893"
"1993","40.663593711","73.190687069","37.30165495","1059.93637049","1132.8826031","186.80682848","368.33828896000006","1059.93637049"
"1994","41.388369496","64.476600211","38.501399935","1036.30910672","1124.9917644000002","180.94272662000003","366.52031062000003","1036.30910672"
"1995","37.212367951000004","61.38851771200001","36.122654396","1085.9681949100002","1158.55250192","193.86950651","373.99200412000005","1085.9681949100002"
"1996","32.846434550000005","60.841215727000005","31.119959887","1143.8576015","1178.5722211000002","200.90001596","412.90293706","1143.8576015"
"1997","27.059148840000002","50.210214119","27.511616316","1138.51215112","1188.1899985","178.48124875000002","409.5648246800001","1138.51215112"
"1998","24.209645324","41.566306170000004","23.760067903000003","1116.9424553200001","1237.1138032000001","209.47495451999998","419.39125591000004","1116.9424553200001"
"1999","22.444927732","37.174000581","21.583314530000003","1134.94548598","1231.7235308000002","191.15062185","440.45434891","1134.94548598"
"2000","21.56802108","25.49689094","19.454170888","1195.1635791","1142.73001485","182.08497870000002","462.51463300000006","1195.1635791"
"2001","20.827354063","16.574024648","20.003301109000002","1212.1758268","1169.5164053","160.40629817","484.95167094000004","1212.1758268"
"2002","20.196848732","11.989499582","19.509073792000002","1257.3393036000002","1131.5030292400002","158.62855963","497.09062300000005","1257.3393036000002"
"2003","17.617327525","13.174394220000002","16.844741973","1269.7485136","1138.28837829","162.85971645","487.91621609000003","1269.7485136"
"2004","17.054245956","1.2143109785000001","14.560587876000001","1290.3908332","1144.46601332","157.86437559","517.91196319","1290.3908332"
"2005","14.815955927000001","0.0","11.757963727000002","1306.6060770000001","1132.3262704200001","173.06761168","551.8404529400001","1306.6060770000001"
"2006","13.978561037","0.0","12.970898295","1302.4848702","1131.9019615","160.57521229000002","564.5824088700001","1302.4848702"
"2007","12.933574136","0.0","11.545708667500001","1273.1181898","1121.87442431","166.97022365","525.18906353","1273.1181898"
"2008","12.75754013","0.0","10.0258382796","1272.1212662","1098.07068692","155.99814438","550.6086498600001","1272.1212662"
"2009","11.874814989","0.0","9.5352370803","1187.1302729000001","1051.20889285","125.82493511","526.6349516500001","1187.1302729000001"
"2010","11.833528489","0.0","8.0624316742","1242.6848058","1027.2150980000001","132.79108414","535.87417255","1242.6848058"
"2011","11.673421767999999","0.0","6.6627029079","1283.3606145","1005.60654637","112.198329274","518.4816122200001","1283.3606145"
"2012","10.7106331484","0.0","5.8381224171","1234.6606873","981.3987246300002","130.93291252","483.1447759900001","1234.6606873"
"2013","10.5251393004","0.0","3.742025769","1223.3334162","963.0626107700001","139.330889","504.4994796100001","1223.3334162"
"2014","10.106799477900001","0.0","0.19681364101","1266.6697037000001","947.5770331699999","104.826618884","414.24465527","1266.6697037000001"
"2015","10.663510714400001","0.0","0.24743142499000004","1269.7636326000002","946.4069505000001","101.269761323","436.61314599","1269.7636326000002"
"2016","10.5331866789","0.0","0.23564890917","1171.0697081","925.02155531","94.28458096100002","478.11791783","1171.0697081"
